name_hotel,address,latitude,longitude,avg_rating,state_name,city_name,cat_name,sentimiento,url
Parlin New Club,"PARLIN NEW CLUB, 6 WASHINGTON RD, PARLIN, NJ 08859",40.4609923,-74.3339237,4.1,New Jersey,Parlin,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c3c9473d4c814f:0x1e5fa2c310f28b71?authuser=-1&hl=en&gl=us
Skyline Yurt ISU,"SKYLINE YURT ISU, INKOM, ID 83245",42.813105,-112.1660611,3.5,Idaho,,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x535535e18bb16af9:0xaa88a35b15af12c2?authuser=-1&hl=en&gl=us
Animal Inn,"ANIMAL INN, 713 KLATE RD, MANSON, WA 98831",47.8894694,-120.1127245,4.6,Washington,Manson,Inn,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x549b9dd36f6ee475:0x728dec0163ee80f1?authuser=-1&hl=en&gl=us
Meraki Lodge,"MERAKI LODGE, 223 MERAKI LN, MANSON, WA 98831",47.8876525,-120.1203756,4.9,Washington,Manson,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x549b9d4ad8f113d5:0x8258a10cca866a62?authuser=-1&hl=en&gl=us
View House at Lake Chelan,"VIEW HOUSE AT LAKE CHELAN, 245 SUMMERSET BLVD, MANSON, WA 98831",47.888291,-120.12412,4.4,Washington,Manson,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x549b9db4d73626a3:0x348e8f7106d3be41?authuser=-1&hl=en&gl=us
Armstrong Lakehouse,"ARMSTRONG LAKEHOUSE, 1173 BOETZKE AVE, MANSON, WA 98831",47.8881894,-120.1755672,5.0,Washington,Manson,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x549b9f5658f1623d:0xce1e839430a4d9cc?authuser=-1&hl=en&gl=us
Drift Inn at Lake Powell,"DRIFT INN AT LAKE POWELL, 105 8TH AVENUE, PAGE, AZ 86040",36.9179535,-111.4559008,4.9,Arizona,Page,Inn,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x873415b8912e00a5:0x155c54ac15f26d57?authuser=-1&hl=en&gl=us
The Captain's Lodge,"THE CAPTAIN'S LODGE, LURAY, VA 22835",38.7679105,-78.4220716,2.7,Virginia,,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89b5b3f9e1ade54f:0x70217c2e82c04fd6?authuser=-1&hl=en&gl=us
Capri Motel,"CAPRI MOTEL, 427 BROADWAY, KINGSTON, NY 12401",41.9269012,-73.9971922,2.4,New York,Kingston,Motel,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89dd0e29cedc9cfb:0xeb9bec7ad330f748?authuser=-1&hl=en&gl=us
Northview Harbor Apts.,"NORTHVIEW HARBOR APTS., 4252 SAWKAW DR NE, GRAND RAPIDS, MI 49525",43.0392355,-85.60524579999999,3.0,Michigan,Grand Rapids,Lodge,-1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8819ab324bdbb8e1:0x9ed872c73586b4f6?authuser=-1&hl=en&gl=us
Whole Person Care Interim Care Program,"WHOLE PERSON CARE INTERIM CARE PROGRAM, 11080 B AVE, AUBURN, CA 95603",38.9372597,-121.1139225,5.0,California,Auburn,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809b11e0f2636b13:0xc2c1cc1d2fbfcdef?authuser=-1&hl=en&gl=us
Amazing Views Mansion,"AMAZING VIEWS MANSION, PIGEON FORGE, TN 37876",35.7940668,-83.4873294,3.5,Tennessee,,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885bfd7889e9669b:0x19c2b187a69be00?authuser=-1&hl=en&gl=us
Station Lakefront Rental Home,"STATION LAKEFRONT RENTAL HOME, 8188 PLUM LAKE STATION RD #9751, SAYNER, WI 54560",45.9987203,-89.49086679999999,4.7,Wisconsin,Sayner,Resort,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x4d55cee0af102c25:0x752b313677a78e1c?authuser=-1&hl=en&gl=us
Kings Island Resort And Conference Center,"KINGS ISLAND RESORT AND CONFERENCE CENTER, 5691 KINGS ISLAND DR, MASON, OH 45040",39.3550606,-84.264094,2.8,Ohio,Mason,Resort,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8840f7fb054383e1:0xc000c04af5bff671?authuser=-1&hl=en&gl=us
Lundy Creek Lodge,"LUNDY CREEK LODGE, 21081 GA-77, SPARTA, GA 31087",33.4137649,-83.0434227,4.3,Georgia,Sparta,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88f6e52f1ae1a11d:0x574276c086502d0c?authuser=-1&hl=en&gl=us
Lucky H Equine Facility,"LUCKY H EQUINE FACILITY, 8800 SW 45TH ST, TOPEKA, KS 66610",38.9855221,-95.8259983,5.0,Kansas,Topeka,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87bee5051ca5bbd1:0xc1aa4febf93f630c?authuser=-1&hl=en&gl=us
Green Dolphin MHP,"GREEN DOLPHIN MHP, NW 16TH AVE, SURFSIDE BEACH, SC 29575",33.6211823,-78.966042,5.0,South Carolina,Surfside Beach,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89004187450ab8db:0xcfac566ff1168583?authuser=-1&hl=en&gl=us
"Garden City, SC","GARDEN CITY, SC, MURRELLS INLET, SC 29576",33.5925407,-79.0093231,3.0,South Carolina,Murrells Inlet,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x890040a328107fdd:0xeae6f2337638588d?authuser=-1&hl=en&gl=us
Garden City Kansas,"GARDEN CITY KANSAS, GARDEN CITY, KS 67846",38.0500283,-100.8478866,4.3,Kansas,,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8709f120d869b509:0xf91d47979d8eb35b?authuser=-1&hl=en&gl=us
Governor's Crossing,"GOVERNOR'S CROSSING, 308 COLLIER DR, SEVIERVILLE, TN 37862",35.8361367,-83.55752969999999,4.6,Tennessee,Sevierville,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885bf9a7d32da535:0x7cfe455b57813455?authuser=-1&hl=en&gl=us
Casa De Miguel,"CASA DE MIGUEL, 101 MAIN ST, NEW DEAL, TX 79350",33.7373581,-101.837178,5.0,Texas,New Deal,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x86fe10f351f8723d:0xe426056b970d07f5?authuser=-1&hl=en&gl=us
Beauclaire Ranch Club,"BEAUCLAIRE RANCH CLUB, DEER ISLAND, FL 32778",28.7468242,-81.691101,4.0,Florida,,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e797afdfd3ea7f:0x2586a75caf68d159?authuser=-1&hl=en&gl=us
Anna Maria Beach,"ANNA MARIA BEACH, HOLMES BEACH, FL 34217",27.4975792,-82.7126352,4.8,Florida,,Lodge,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c31137156c3389:0xf2cd14b16083d4cb?authuser=-1&hl=en&gl=us
Pipe Creek Ranch,"PIPE CREEK RANCH, 1673 NEW NORTHRUP RANCH RD, PIPE CREEK, TX 78063",29.7572492,-98.90517,5.0,Texas,Pipe Creek,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x865c0c79d513fc6f:0xdfadc969310d982c?authuser=-1&hl=en&gl=us
Edwards Addition Neighborhood,"EDWARDS ADDITION NEIGHBORHOOD, 170 E MAIN ST, MONMOUTH, OR 97361",44.8424837,-123.2188573,5.0,Oregon,Monmouth,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x54c0058aba473cdb:0x8198e06126fc10bd?authuser=-1&hl=en&gl=us
Relax Inn,"RELAX INN, 2314 US-80, WHITE OAK, TX 75693",32.511832,-94.8297962,3.6,Texas,White Oak,Inn,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x86363bc03c03addf:0x334fb2c9e57416df?authuser=-1&hl=en&gl=us
Northlane Condominiums,"NORTHLANE CONDOMINIUMS, 416 W NORTHLANE DR, BLOOMINGTON, IN 47404",39.1830922,-86.5380168,5.0,Indiana,Bloomington,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x886c672c46d636a9:0x2df32f209445ee22?authuser=-1&hl=en&gl=us
Howard Johnson Inn Cincinnati,"HOWARD JOHNSON INN CINCINNATI, 400 GLENSPRINGS DR, CINCINNATI, OH 45246",39.2932533,-84.4875132,1.8,Ohio,Cincinnati,Inn,-1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88404e8cd7f757e3:0x453c26c3a9a95f28?authuser=-1&hl=en&gl=us
Ski Hill 36 by Pinnacle Lodging,"SKI HILL 36 BY PINNACLE LODGING, 250 SKI HILL RD, BRECKENRIDGE, CO 80424",39.482306,-106.049677,5.0,Colorado,Breckenridge,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x876af72c9048cd0b:0x102ccc701ed7e416?authuser=-1&hl=en&gl=us
Oglethorpe Efficiencies,"OGLETHORPE EFFICIENCIES, 3553 DARIEN HWY, BRUNSWICK, GA 31525",31.1885449,-81.4705303,3.7,Georgia,Brunswick,Lodge,-1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e5266efcd2c897:0x926946dabf6c649f?authuser=-1&hl=en&gl=us
Kasa Charlotte FreeMoreWest,"KASA CHARLOTTE FREEMOREWEST, 2020 MORTON ST, CHARLOTTE, NC 28208",35.224397,-80.87187999999999,5.0,North Carolina,Charlotte,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8856a1dedb2e9e7d:0xc18c20b72da2e705?authuser=-1&hl=en&gl=us
Riverside Motel,"RIVERSIDE MOTEL, YULEE, FL 32097",30.7358186,-81.687483,4.0,Florida,,Motel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e50593793be5eb:0x8b1c18684402c3e2?authuser=-1&hl=en&gl=us
Gina's K-9 Bed & Breakfast,"GINA'S K-9 BED & BREAKFAST, 349 FARM RD, COPAKE, NY 12516",42.1312635,-73.53310929999999,4.8,New York,Copake,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89dd8620545441e9:0x45e14261e496b2bf?authuser=-1&hl=en&gl=us
Howard Johnson Saint Robert Near Fort Leonard Wood,"HOWARD JOHNSON SAINT ROBERT NEAR FORT LEONARD WOOD, 239 ST ROBERT BLVD, ST ROBERT, MO 65584",37.8265228,-92.1590347,3.4,Missouri,St Robert,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87dadd7deffeb753:0x22b9d6cc43e326ea?authuser=-1&hl=en&gl=us
The Guest Lodge at Santa Claus Lake (Staples Pond),"THE GUEST LODGE AT SANTA CLAUS LAKE (STAPLES POND), CHRISTMAS LN, TEMPLE, ME 04984",44.7201819,-70.23779429999999,5.0,Maine,Temple,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cb19e60833ca14b:0x6eb0e47c2c59180?authuser=-1&hl=en&gl=us
Big Blue Ranch and Lodge,"BIG BLUE RANCH AND LODGE, 70901 609 AVE, BURCHARD, NE 68323",40.1090801,-96.4146733,5.0,Nebraska,Burchard,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87960a98dc7d1777:0x6380550d427238c5?authuser=-1&hl=en&gl=us
Georgetown Vacation Rentals,"GEORGETOWN VACATION RENTALS, 356 N BROADWAY ST, GEORGETOWN, KY 40324",38.2148032,-84.5597011,5.0,Kentucky,Georgetown,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88423f0b9c6fffff:0xc3ecc4cb7bccf4fd?authuser=-1&hl=en&gl=us
Grand Portage Human Services Department,"GRAND PORTAGE HUMAN SERVICES DEPARTMENT, 2 CASINO DR, GRAND PORTAGE, MN 55605",47.9480593,-89.69687789999999,3.6,Minnesota,Grand Portage,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x4d5867ba54d5c155:0x633a4c1e5f5d2740?authuser=-1&hl=en&gl=us
Wayfaring Traveler Llama Ranch,"WAYFARING TRAVELER LLAMA RANCH, 1100 CO LN 38, BURLINGTON, WY 82411",44.4433001,-108.367,5.0,Wyoming,Burlington,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x534bed00191e02ed:0xedfe763f4d853f72?authuser=-1&hl=en&gl=us
James Motel,"JAMES MOTEL, 1709 BROADWAY, SAUGUS, MA 01906",42.4508006,-71.0261671,3.7,Massachusetts,Saugus,Motel,-1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e3726801db0afd:0x152721b095da7fb3?authuser=-1&hl=en&gl=us
Diamond Bar Bed & Breakfast,"DIAMOND BAR BED & BREAKFAST, 14996 27TH ST SW, MEDORA, ND 58645",47.024401,-103.6571233,5.0,North Dakota,Medora,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x5325e97b076a701d:0x6f9b816d7d662b10?authuser=-1&hl=en&gl=us
Three Waters Lodge,"THREE WATERS LODGE, 4443 E SCENIC DR, GATLINBURG, TN 37738",35.7630757,-83.3206343,4.8,Tennessee,Gatlinburg,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885be16a073164b7:0x4e2aa63bf70e3e8e?authuser=-1&hl=en&gl=us
Motel 6 Sioux City,"MOTEL 6 SIOUX CITY, 6166 HARBOR DR, SIOUX CITY, IA 51111",42.3988035,-96.3688403,3.0,Iowa,Sioux City,Motel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x878dffa6aee7d3d7:0x251ad04cdf4901a1?authuser=-1&hl=en&gl=us
Lances Landing,"LANCES LANDING, 25651 NC-12, WAVES, NC 27982",35.566205499999995,-75.4682042,4.2,North Carolina,Waves,Resort,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89a45b17b79a4245:0xb4689983b0f85a9e?authuser=-1&hl=en&gl=us
Holiday Inn Fitchburg - Waterpark,"HOLIDAY INN FITCHBURG - WATERPARK, 150 GREAT WOLF DR, FITCHBURG, MA 01420",42.5470339,-71.8543571,2.5,Massachusetts,Fitchburg,Inn,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e3e40a2a7d4311:0x56b54dc03b117440?authuser=-1&hl=en&gl=us
"Terracehouse, A Destination By Hyatt Residence","TERRACEHOUSE, A DESTINATION BY HYATT RESIDENCE, 65 CAMPGROUND LN, SNOWMASS VILLAGE, CO 81615",39.2078681,-106.9526746,4.7,Colorado,,Resort,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x874047cdd8590241:0xe90802b660aec547?authuser=-1&hl=en&gl=us
Building 63,"BUILDING 63, 6631-6799 CAPTAINS WAY, ORLANDO, FL 32821",28.4035037,-81.4710006,4.7,Florida,Orlando,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd807fc80ee109:0xb4294b11264f23aa?authuser=-1&hl=en&gl=us
Shadow Tree Lodge,"SHADOW TREE LODGE, 1378 SHADOWTREE LN, LAPEER, MI 48446",43.0712118,-83.287504,4.5,Michigan,Lapeer,Lodge,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88246723e789ceab:0x496fca547ba9554a?authuser=-1&hl=en&gl=us
The Royal Chinook,"THE ROYAL CHINOOK, 503 W 3RD ST, YACHATS, OR 97498",44.3119687,-124.1073013,4.0,Oregon,Yachats,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x54c1eb699a24ba55:0x47978bf3a4c68381?authuser=-1&hl=en&gl=us
Darling Inn Meal Site,"DARLING INN MEAL SITE, 76 DEPOT ST, LYNDONVILLE, VT 05851",44.534672,-72.003844,4.5,Vermont,Lyndonville,Inn,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cb4372810abbe65:0x155a71e906970f93?authuser=-1&hl=en&gl=us
Woodland Hills Golf Club,"WOODLAND HILLS GOLF CLUB, 592 DAY LAKE DR, MIDLAND, GA 31820",32.5865594,-84.8124369,2.0,Georgia,Midland,Resort,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88f3364ae696700d:0x7f7093036f6a6dab?authuser=-1&hl=en&gl=us
Five Touch Spa & Salon,"FIVE TOUCH SPA & SALON, 2403 WOOTEN BLVD SW, WILSON, NC 27893",35.716812,-77.947255,4.8,North Carolina,Wilson,Resort,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89ac209443087387:0x7057ff7490de09fb?authuser=-1&hl=en&gl=us
Alpine Motel,"ALPINE MOTEL, BURKESVILLE, KY 42717",36.7903399,-85.3705186,5.0,Kentucky,,Motel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8867b90fcfc7ba9d:0xdaae52c29e2ee719?authuser=-1&hl=en&gl=us
MSI Lodging Systems,"MSI LODGING SYSTEMS, 233 PARKERS MILL WAY, SOMERSET, KY 42503",37.0381029,-84.6305019,2.7,Kentucky,Somerset,Lodge,-1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885d484f6d3b709f:0xd4192fa815c2b414?authuser=-1&hl=en&gl=us
Lazy K Lounge,"LAZY K LOUNGE, 137 LOCUST ST, COLUMBIA, PA 17512",40.0305695,-76.5049006,4.0,Pennsylvania,Columbia,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c89ce228f7909b:0xa02441a3e7e0fe89?authuser=-1&hl=en&gl=us
Stay Alfred on 14th Street,"STAY ALFRED ON 14TH STREET, 1200 14TH ST NW, WASHINGTON, DC 20005",38.9071152,-77.0321293,4.4,"Washington, D.C.",Washington,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89b7b7eabc3a975d:0x36dd303af2d306b6?authuser=-1&hl=en&gl=us
Moonlite Inn,"MOONLITE INN, 14 TREMONT ST, REHOBOTH, MA 02769",41.9045303,-71.1946878,4.6,Massachusetts,Rehoboth,Inn,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e45ff7a42db085:0x1f5985953c4e9d80?authuser=-1&hl=en&gl=us
Gatlinburg Village 505 3 Bedroom Home,"GATLINBURG VILLAGE 505 3 BEDROOM HOME, 403 BASKINS CREEK RD, GATLINBURG, TN 37738",35.7092382,-83.5109427,3.4,Tennessee,Gatlinburg,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885955d9c0464015:0xb1df9fa73da57766?authuser=-1&hl=en&gl=us
Wilderness Retreat Cabins,"WILDERNESS RETREAT CABINS, 1311 CANYON RD, WISCONSIN DELLS, WI 53965",43.6007415,-89.7649993,4.7,Wisconsin,Wisconsin Dells,Hotel,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88074662dd5be381:0x3fc1e4d73944fd62?authuser=-1&hl=en&gl=us
Bubba's Lodge,"BUBBA'S LODGE, 3434 TUTT RD, MERCER, WI 54547",46.1013692,-90.186178,4.9,Wisconsin,Mercer,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x52aa1b6354040d6b:0x6728c4ab6cd3ba70?authuser=-1&hl=en&gl=us
Pan American Motel,"PAN AMERICAN MOTEL, 71 NJ-35, EATONTOWN, NJ 07724",40.3009025,-74.05645679999999,2.7,New Jersey,Eatontown,Motel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c22fbce1578dcd:0x4056904bca08d385?authuser=-1&hl=en&gl=us
Olympic Motel,"OLYMPIC MOTEL, 195 E 2ND ST, RENO, NV 89501",39.5266273,-119.8155726,4.0,Nevada,Reno,Motel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8099475f7332e7df:0xb74922b0d295d3e3?authuser=-1&hl=en&gl=us
Manna (River Bluff Cabins),"MANNA (RIVER BLUFF CABINS), 220 PARKLINE WAY, TOWNSEND, TN 37882",35.668464799999995,-83.7149058,4.8,Tennessee,Townsend,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885ea92bf48717bd:0x6a493cd01c0bc96c?authuser=-1&hl=en&gl=us
Lake Wister State Park Group Camp,"LAKE WISTER STATE PARK GROUP CAMP, LAKE WISTER STATE PARK, WISTER, OK 74966",34.9674192,-94.7255679,4.5,Oklahoma,Wister,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87caf3d913793a0b:0x75d20c823670775?authuser=-1&hl=en&gl=us
Wards Landing Campground,"WARDS LANDING CAMPGROUND, CO RD 138, WISTER, OK 74966",34.9429265,-94.744865,3.3,Oklahoma,Wister,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87ca935817fe9681:0xc988d1f33b43b980?authuser=-1&hl=en&gl=us
Pebble Beach Apartments,"PEBBLE BEACH APARTMENTS, 115 E SUNLITE TRAIL, HOT SPRINGS NATIONAL PARK, AR 71913",34.4974202,-93.1309573,4.0,Arkansas,Hot Springs National Park,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87ccd51bc62528c3:0x88cef64c4ba620c7?authuser=-1&hl=en&gl=us
Comfort Inn & Suites,"COMFORT INN & SUITES, 835 S CHESTATEE ST, DAHLONEGA, GA 30533",34.5244872,-83.9741111,4.6,Georgia,Dahlonega,Inn,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885f67d7d223d33b:0x747859c540f93fb4?authuser=-1&hl=en&gl=us
White Horse Inn,"WHITE HORSE INN, 351 THOMPSON RD, THOMPSON, CT 06277",41.9586355,-71.8623331,5.0,Connecticut,Thompson,Inn,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e42156d7f6af07:0x4d5d339bf0cd8337?authuser=-1&hl=en&gl=us
Taos Mountain Inn,"TAOS MOUNTAIN INN, 13 WEST ROAD, EL PRADO, NM 87529",36.4633984,-105.5993091,4.8,New Mexico,El Prado,Inn,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x871770268556ac25:0xd7b65612278b7419?authuser=-1&hl=en&gl=us
Casa Vista Clara,"CASA VISTA CLARA, 54 GERONIMO LN, ARROYO SECO, NM 87514",36.5259388,-105.5624779,5.0,New Mexico,Arroyo Seco,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87176dd8f4bbdf23:0xa23057ba90b00fca?authuser=-1&hl=en&gl=us
Kittys Casita,"KITTYS CASITA, 26 JUAN MARTINEZ RD, ARROYO SECO, NM 87514",36.5287352,-105.563501,4.0,New Mexico,Arroyo Seco,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87176dd969a428e9:0xb96e610c16249c55?authuser=-1&hl=en&gl=us
Good's Furniture Bed & Breakfast,"GOOD'S FURNITURE BED & BREAKFAST, 209 N MAIN ST, KEWANEE, IL 61443",41.2451016,-89.92537879999999,4.4,Illinois,Kewanee,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x880a0118188d47bf:0x61ffef7e28f403df?authuser=-1&hl=en&gl=us
Coloma Cottages,"COLOMA COTTAGES, 5941 NEW RIVER RD, COLOMA, CA 95613",38.7993522,-120.885765,5.0,California,Coloma,Lodge,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809a55833fbe05ad:0xee6507787fb6a26c?authuser=-1&hl=en&gl=us
Pennville Freemason Lodge,"PENNVILLE FREEMASON LODGE, 215 N UNION ST, PENNVILLE, IN 47369",40.4935943,-85.1481239,4.7,Indiana,Pennville,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x881576554a2e0d21:0x84155c45612c4318?authuser=-1&hl=en&gl=us
Upper Huffman House,"UPPER HUFFMAN HOUSE, 8500 UPPER HUFFMAN RD, ANCHORAGE, AK 99516",61.1083927,-149.72344379999998,5.0,Alaska,Anchorage,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56c89b5db9237529:0xc75ab400a9511ba2?authuser=-1&hl=en&gl=us
Kindred Home Community (New Streets),"KINDRED HOME COMMUNITY (NEW STREETS), PLANTERS POINT RD, KISSIMMEE, FL 34744",28.2642282,-81.3617065,4.7,Florida,Kissimmee,Lodge,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd859345816a83:0xdc838ed7040709a0?authuser=-1&hl=en&gl=us
Budget Host Inn,"BUDGET HOST INN, 2600 W 65TH ST, LITTLE ROCK, AR 72209",34.6901278,-92.3068737,3.8,Arkansas,Little Rock,Inn,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87d2a5343ef4e94b:0x78d4dee0ab39a3d4?authuser=-1&hl=en&gl=us
Marriot Spring,"MARRIOT SPRING, 311 E 5TH ST, CHARLOTTE, NC 28202",35.2263172,-80.8384791,5.0,North Carolina,Charlotte,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8856a024675aee89:0x862b88b4dadfe62c?authuser=-1&hl=en&gl=us
